ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Procedure[Block]	Running[Block]	Test	Test.Cycle	Test.Sample	Train	Train.Cycle	Train.Sample	Trial	Concentration	IntensityRating	Jar	Procedure[Trial]	Question	Running[Trial]	TestList	TestList.Cycle	TestList.Sample	TrainList	TrainList.Cycle	TrainList.Sample	TrainWalkThrough	TrainWalkThrough.Cycle	TrainWalkThrough.Sample	TrialNo	valve	valve2	SubTrial	Prepare	Prepare.Cycle	Prepare.Sample	Procedure[SubTrial]	Running[SubTrial]
TMA_DR_jars	21	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">22585155344651</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-21-1	60.321	1.0.0.2411	1	-2077462812	2.0.10.242	2.0.10.242	07-24-2017	7/24/2017 3:58:14 PM	11:58:14	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	1	10	503	11	TrainWalkThroughProc	Please rate the intensity of the odor	TrainWalkThrough	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	NULL	0	0	1	1	1	1	PrepareProc	Prepare
TMA_DR_jars	21	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">22585155344651</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-21-1	60.321	1.0.0.2411	1	-2077462812	2.0.10.242	2.0.10.242	07-24-2017	7/24/2017 3:58:14 PM	11:58:14	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	2	1	548	2	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	1	1	1	NULL	NULL	NULL	?	0	0	1	1	2	2	PrepareProc	Prepare
TMA_DR_jars	21	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">22585155344651</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-21-1	60.321	1.0.0.2411	1	-2077462812	2.0.10.242	2.0.10.242	07-24-2017	7/24/2017 3:58:14 PM	11:58:14	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	3	9	484	8	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	2	1	2	NULL	NULL	NULL	?	0	0	1	1	3	3	PrepareProc	Prepare
TMA_DR_jars	21	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">22585155344651</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-21-1	60.321	1.0.0.2411	1	-2077462812	2.0.10.242	2.0.10.242	07-24-2017	7/24/2017 3:58:14 PM	11:58:14	2.0.10.147	1	TrainStartProc	Train	NULL	NULL	NULL	1	1	1	4	0	546	3	ExperimentProc	Please rate the intensity of the odor	TrainList	NULL	NULL	NULL	3	1	3	NULL	NULL	NULL	?	0	0	1	1	4	4	PrepareProc	Prepare
TMA_DR_jars	21	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">22585155344651</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-21-1	60.321	1.0.0.2411	1	-2077462812	2.0.10.242	2.0.10.242	07-24-2017	7/24/2017 3:58:14 PM	11:58:14	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	1	0	573	3	ExperimentProc	Please rate the intensity of the odor	TestList	3	1	1	NULL	NULL	NULL	NULL	NULL	NULL	?	0	0	1	1	5	5	PrepareProc	Prepare
TMA_DR_jars	21	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">22585155344651</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-21-1	60.321	1.0.0.2411	1	-2077462812	2.0.10.242	2.0.10.242	07-24-2017	7/24/2017 3:58:14 PM	11:58:14	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	2	1	434	2	ExperimentProc	Please rate the intensity of the odor	TestList	2	1	2	NULL	NULL	NULL	NULL	NULL	NULL	?	0	0	1	1	6	6	PrepareProc	Prepare
TMA_DR_jars	21	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">22585155344651</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-21-1	60.321	1.0.0.2411	1	-2077462812	2.0.10.242	2.0.10.242	07-24-2017	7/24/2017 3:58:14 PM	11:58:14	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	3	9	383	8	ExperimentProc	Please rate the intensity of the odor	TestList	8	1	3	NULL	NULL	NULL	NULL	NULL	NULL	?	0	0	1	1	7	7	PrepareProc	Prepare
TMA_DR_jars	21	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">22585155344651</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-21-1	60.321	1.0.0.2411	1	-2077462812	2.0.10.242	2.0.10.242	07-24-2017	7/24/2017 3:58:14 PM	11:58:14	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	4	.3	485	10	ExperimentProc	Please rate the intensity of the odor	TestList	10	1	4	NULL	NULL	NULL	NULL	NULL	NULL	?	0	0	1	1	8	8	PrepareProc	Prepare
TMA_DR_jars	21	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">22585155344651</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-21-1	60.321	1.0.0.2411	1	-2077462812	2.0.10.242	2.0.10.242	07-24-2017	7/24/2017 3:58:14 PM	11:58:14	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	5	15	383	9	ExperimentProc	Please rate the intensity of the odor	TestList	9	1	5	NULL	NULL	NULL	NULL	NULL	NULL	?	0	0	1	1	9	9	PrepareProc	Prepare
TMA_DR_jars	21	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3118085</Frequency><Timestamp dt:dt="r8">22585155344651</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2017-07-24T15:58:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	TMA_DR_jars-21-1	60.321	1.0.0.2411	1	-2077462812	2.0.10.242	2.0.10.242	07-24-2017	7/24/2017 3:58:14 PM	11:58:14	2.0.10.147	2	TestProcedure	Test	1	1	1	NULL	NULL	NULL	6	12	393	5	ExperimentProc	Please rate the intensity of the odor	TestList	5	1	6	NULL	NULL	NULL	NULL	NULL	NULL	?	0	0	1	1	10	10	PrepareProc	Prepare
